Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"ABB","https://scanx.trade/company/abb-ltd","6,073.00","-0.98%","6,128.00","6,02,254","1,28,691.96","77.78","4.69","6,260.00","4,637.50","29.36%","16.84%","18.04%","93.28%","297.41%","16.56","0.64%","21.00%","35.54%","75.95","5,394.24","5,420.44","64.90","75.96%","87.50%"
"Jindal Steel","https://scanx.trade/company/jindal-steel-ltd","1,244.20","-1.33%","1,253.20","16,18,136","1,26,919.36","63.80","24.85","1,272.10","770.00","16.98%","19.36%","44.34%","122.06%","270.41%","2.59","0.16%","13.28%","8.16%","54.82","1,110.11","1,026.70","67.08","76.00%","87.50%"
"IDBI Bank","https://scanx.trade/company/idbi-bank-ltd","116.01","2.02%","113.84","3,93,93,232","1,24,738.62","13.10","9.69","118.38","66.50","19.08%","13.79%","63.35%","137.97%","267.70%","2.07","1.85%","11.35%","5.31%","5.85","105.10","97.67","65.09","60.00%","75.00%"
"Godrej Consumer Products","https://scanx.trade/company/godrej-consumer-products-ltd","1,217.50","-1.75%","1,238.90","14,43,913","1,24,580.03","69.63","71.16","1,309.00","979.50","-1.85%","5.48%","15.80%","31.22%","77.37%","10.43","2.02%","-4.45%","23.72%","17.15","1,208.83","1,200.23","53.29","76.00%","87.50%"
"Ashok Leyland","https://scanx.trade/company/ashok-leyland-ltd","211.10","-0.39%","211.92","1,39,62,660","1,23,997.07","34.74","119.14","215.42","95.93","9.39%","41.73%","87.28%","198.80%","227.64%","9.89","1.47%","22.82%","15.46%","8.52","193.20","148.16","63.32","76.00%","87.50%"
"Ambuja Cements","https://scanx.trade/company/ambuja-cements-ltd","500.40","-2.29%","512.00","24,28,507","1,23,690.05","25.48","228.35","624.95","455.00","-3.51%","-9.02%","6.51%","44.94%","82.96%","2.25","0.39%","9.32%","9.15%","12.66","535.41","560.49","35.84","76.00%","87.50%"
"Solar Industries","https://scanx.trade/company/solar-industries-ltd","13,504.00","-1.82%","13,803.00","1,02,819","1,22,197.77","81.45","16.37","17,820.00","8,482.50","6.68%","0.33%","54.80%","255.08%","934.99%","24.31","0.07%","25.54%","30.18%","102.22","12,992.46","14,225.56","54.39","74.84%","86.55%"
"Siemens","https://scanx.trade/company/siemens-ltd","3,418.60","2.45%","3,336.00","8,57,596","1,21,743.36","67.09","4.69","3,409.00","2,269.90","17.87%","3.01%","46.73%","111.82%","271.71%","8.97","0.36%","14.98%","22.43%","68.99","3,103.32","3,162.65","65.94","74.98%","87.34%"
"Adani Energy Solutions","https://scanx.trade/company/adani-transmission-ltd","1,011.55","-1.21%","1,022.00","7,02,337","1,21,515.75","51.62","35.41","1,067.70","639.45","24.47%","2.05%","52.87%","42.01%","34.87%","5.26","-","8.73%","6.77%","12.54","977.54","911.49","53.37","68.33%","80.00%"
"Tata Power","https://scanx.trade/company/tata-power-ltd","377.55","-0.75%","380.40","31,97,689","1,20,640.04","24.25","35.41","416.80","331.85","9.36%","-3.56%","9.98%","86.63%","296.79%","3.22","0.59%","11.17%","9.90%","11.48","371.70","387.90","53.45","76.00%","87.50%"
"Bajaj Holdings & Investments","https://scanx.trade/company/bajaj-holdings-and-investments-ltd","10,804.00","-1.34%","10,980.00","83,861","1,20,241.51","13.60","30.80","14,763.00","10,400.00","1.27%","-7.93%","-10.48%","77.02%","197.61%","1.80","0.85%","11.70%","8.98%","670.52","10,999.02","12,507.13","43.04","68.52%","87.50%"
"Indus Towers","https://scanx.trade/company/bharti-infratel-ltd","454.95","-1.37%","459.00","71,70,798","1,20,023.21","17.08","17.81","481.50","312.55","10.12%","12.17%","34.50%","165.74%","76.47%","3.37","-","22.32%","28.12%","24.54","439.76","393.92","50.12","75.51%","87.50%"
"HDFC AMC","https://scanx.trade/company/hdfc-asset-management-company-ltd","2,698.60","-2.00%","2,718.70","11,93,019","1,15,583.33","41.07","30.80","2,967.25","1,783.43","11.07%","0.73%","46.31%","197.32%","83.77%","15.25","1.63%","27.46%","39.50%","96.87","2,649.35","2,678.24","49.21","76.00%","87.50%"
"Vodafone Idea","https://scanx.trade/company/vodafone-idea-ltd","10.59","-2.40%","10.88","38,32,28,221","1,14,735.27","-4.78","-11.29","12.80","6.12","6.65%","5.06%","35.77%","56.89%","-6.28%","-1.43","-","29.99%","-1.99%","-","11.16","8.86","41.55","65.99%","77.10%"
"Hero Motocorp","https://scanx.trade/company/hero-motocorp-ltd","5,710.00","-1.33%","5,775.00","5,84,546","1,14,246.60","21.17","42.77","6,388.50","3,344.00","6.05%","-6.95%","51.88%","129.72%","77.11%","5.51","2.85%","20.98%","28.71%","204.10","5,676.27","5,195.86","53.50","76.00%","90.06%"
"CG Power & Industrial Solutions","https://scanx.trade/company/cg-power-and-industrial-solutions-ltd","725.20","-0.21%","726.75","26,08,297","1,14,208.67","103.17","4.69","797.55","517.70","32.07%","5.35%","24.96%","130.33%","1,184.68%","15.33","0.17%","28.86%","31.58%","5.88","644.12","689.01","67.27","74.12%","86.10%"
"Hitachi Energy","https://scanx.trade/company/abb-power-products-systems-ltd","25,562.00","0.63%","25,340.00","1,26,705","1,13,935.87","134.51","4.69","25,470.00","10,400.00","54.91%","15.12%","121.02%","680.71%","1,676.25%","24.69","0.02%","12.04%","13.08%","40.53","19,806.22","19,381.78","77.31","50.00%","79.58%"
"Tata Consumer Products","https://scanx.trade/company/tata-consumer-products-ltd","1,141.00","-1.60%","1,151.10","20,35,788","1,12,907.01","77.97","10.95","1,220.90","930.10","-1.08%","-3.74%","13.19%","61.30%","89.64%","5.65","0.71%","7.46%","7.91%","13.53","1,166.27","1,130.72","45.08","78.00%","91.00%"
"Apollo Hospitals","https://scanx.trade/company/apollo-hospitals-ltd","7,821.50","0.60%","7,735.50","6,98,131","1,12,461.17","59.95","37.79","8,099.50","6,001.00","14.97%","5.80%","26.46%","74.95%","155.72%","12.31","0.16%","12.53%","15.53%","72.05","7,229.67","7,372.31","76.58","75.00%","91.00%"
"GAIL","https://scanx.trade/company/gail-ltd","169.53","-0.25%","169.45","1,71,64,115","1,11,467.66","12.98","34.23","202.79","150.52","5.42%","-8.44%","6.38%","63.88%","79.34%","1.27","4.41%","12.83%","15.14%","17.17","166.56","177.56","57.68","76.00%","87.50%"
"BSE","https://scanx.trade/company/bse-ltd","2,707.10","-3.35%","2,772.00","48,30,334","1,10,418.30","52.20","34.23","3,227.00","1,227.32","0.81%","-6.22%","57.31%","1,748.73%","4,089.91%","21.89","0.27%","22.34%","30.53%","44.38","2,773.55","2,580.73","43.63","65.00%","79.57%"
"Cipla","https://scanx.trade/company/cipla-ltd","1,348.20","-0.73%","1,353.00","26,09,711","1,08,903.79","24.19","4.43","1,673.00","1,281.70","2.52%","-11.52%","-6.45%","40.17%","71.30%","3.33","1.18%","15.50%","21.57%","55.04","1,398.39","1,492.02","47.64","78.00%","91.00%"
"LG Electronics","https://scanx.trade/company/lg-electronics-india-ltd","1,589.00","1.90%","1,555.50","6,63,497","1,07,856.93","60.56","13.89","1,749.00","1,325.50","13.51%","-3.15%","-5.97%","-5.97%","-5.97%","15.39","-","-","45.23%","-","1,484.64","-","64.34","-","75.00%"
